SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.393""",600,608,-5456.0,-316.0,4324.0,-12909.0,-5507.0,-4738.0, ,"=""15:36:57.393""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.501""",600,608,-5456.0,-316.0,4324.0,-12909.0,-5507.0,-4738.0, ,"=""15:36:57.501""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.609""",600,608,-5456.0,-316.0,4324.0,-12909.0,-5507.0,-4738.0, ,"=""15:36:57.610""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.718""",600,608,-5456.0,-316.0,4324.0,-12909.0,-5507.0,-4738.0, ,"=""15:36:57.718""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.826""",600,608,-5456.0,-316.0,4324.0,-12909.0,-5507.0,-4738.0, ,"=""15:36:57.826""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:57.935""",600,605,-548.0,-9944.0,8628.0,-10820.0,4280.0,6108.0, ,"=""15:36:57.935""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:58.044""",600,605,-548.0,-9944.0,8628.0,-10820.0,4280.0,6108.0, ,"=""15:36:58.044""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:58.151""",600,605,-548.0,-9944.0,8628.0,-10820.0,4280.0,6108.0, ,"=""15:36:58.151""",600,599,-4620.0,-4772.0,-8916.0,-754.0,1530.0,1466.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:58.261""",600,605,-548.0,-9944.0,8628.0,-10820.0,4280.0,6108.0, ,"=""15:36:58.261""",600,601,-2604.0,-9424.0,-12328.0,6725.0,1418.0,560.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:58.370""",600,605,-548.0,-9944.0,8628.0,-10820.0,4280.0,6108.0, ,"=""15:36:58.370""",600,601,-2604.0,-9424.0,-12328.0,6725.0,1418.0,560.0, 
