SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""13:50:53.478""",240,223,4812.0,-13408.0,19660.0,1170.0,-341.0,1153.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:50:53.478""",240,232,3620.0,11860.0,19768.0,-2973.0,-964.0,-4886.0, 
"=""13:50:53.586""",240,231,-4200.0,-8948.0,10096.0,-3595.0,-1428.0,2880.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:50:53.587""",240,232,3620.0,11860.0,19768.0,-2973.0,-964.0,-4886.0, 
"=""13:50:53.700""",240,231,-4200.0,-8948.0,10096.0,-3595.0,-1428.0,2880.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:50:53.700""",240,232,3620.0,11860.0,19768.0,-2973.0,-964.0,-4886.0, 
"=""13:50:53.825""",240,231,-4200.0,-8948.0,10096.0,-3595.0,-1428.0,2880.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:50:53.825""",240,232,3620.0,11860.0,19768.0,-2973.0,-964.0,-4886.0, 
"=""13:50:53.935""",240,231,-4200.0,-8948.0,10096.0,-3595.0,-1428.0,2880.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:50:53.935""",240,232,3620.0,11860.0,19768.0,-2973.0,-964.0,-4886.0, 
"=""13:51:00.292""",450,240,-420.0,-12348.0,17080.0,3955.0,-1014.0,50.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:00.292""",450,241,5520.0,6512.0,20624.0,465.0,-3514.0,-668.0, 
"=""13:51:00.407""",450,240,-420.0,-12348.0,17080.0,3955.0,-1014.0,50.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:00.407""",450,241,5520.0,6512.0,20624.0,465.0,-3514.0,-668.0, 
"=""13:51:00.517""",450,240,-420.0,-12348.0,17080.0,3955.0,-1014.0,50.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:00.517""",450,247,3720.0,6204.0,25544.0,-2019.0,461.0,-4189.0, 
"=""13:51:00.627""",450,240,-420.0,-12348.0,17080.0,3955.0,-1014.0,50.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:00.627""",450,247,3720.0,6204.0,25544.0,-2019.0,461.0,-4189.0, 
"=""13:51:00.736""",450,240,-420.0,-12348.0,17080.0,3955.0,-1014.0,50.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:00.736""",450,247,3720.0,6204.0,25544.0,-2019.0,461.0,-4189.0, 
"=""13:51:09.421""",670,448,788.0,-6408.0,11256.0,-3330.0,-3450.0,1426.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:09.421""",670,450,3712.0,5732.0,22120.0,-6476.0,450.0,-2099.0, 
"=""13:51:09.529""",670,448,788.0,-6408.0,11256.0,-3330.0,-3450.0,1426.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:09.529""",670,450,3712.0,5732.0,22120.0,-6476.0,450.0,-2099.0, 
"=""13:51:09.639""",670,454,-5692.0,-9244.0,21036.0,5067.0,955.0,670.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:09.639""",670,450,3712.0,5732.0,22120.0,-6476.0,450.0,-2099.0, 
"=""13:51:09.747""",670,454,-5692.0,-9244.0,21036.0,5067.0,955.0,670.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:09.747""",670,450,3712.0,5732.0,22120.0,-6476.0,450.0,-2099.0, 
"=""13:51:09.857""",670,454,-5692.0,-9244.0,21036.0,5067.0,955.0,670.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:09.857""",670,450,3712.0,5732.0,22120.0,-6476.0,450.0,-2099.0, 
"=""13:51:25.605""",550,676,-5008.0,-1380.0,-572.0,32767.0,-655.0,-560.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:25.605""",550,674,800.0,-10672.0,22704.0,-6324.0,1536.0,12143.0, 
"=""13:51:25.718""",550,676,-5008.0,-1380.0,-572.0,32767.0,-655.0,-560.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:25.718""",550,674,800.0,-10672.0,22704.0,-6324.0,1536.0,12143.0, 
"=""13:51:25.829""",550,676,-5008.0,-1380.0,-572.0,32767.0,-655.0,-560.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:25.830""",550,674,800.0,-10672.0,22704.0,-6324.0,1536.0,12143.0, 
"=""13:51:25.939""",550,676,-5008.0,-1380.0,-572.0,32767.0,-655.0,-560.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:25.939""",550,674,800.0,-10672.0,22704.0,-6324.0,1536.0,12143.0, 
"=""13:51:26.048""",550,676,-5008.0,-1380.0,-572.0,32767.0,-655.0,-560.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:26.048""",550,674,800.0,-10672.0,22704.0,-6324.0,1536.0,12143.0, 
"=""13:51:29.604""",0,547,-2268.0,-15952.0,13644.0,-8541.0,59.0,1652.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:29.604""",0,552,3944.0,18220.0,18016.0,-3435.0,-618.0,393.0, 
"=""13:51:29.716""",0,547,-2268.0,-15952.0,13644.0,-8541.0,59.0,1652.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:29.717""",0,552,3944.0,18220.0,18016.0,-3435.0,-618.0,393.0, 
"=""13:51:29.841""",0,547,-2268.0,-15952.0,13644.0,-8541.0,59.0,1652.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:29.841""",0,552,3944.0,18220.0,18016.0,-3435.0,-618.0,393.0, 
"=""13:51:29.965""",0,547,-2268.0,-15952.0,13644.0,-8541.0,59.0,1652.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:29.965""",0,552,3944.0,18220.0,18016.0,-3435.0,-618.0,393.0, 
"=""13:51:30.075""",0,547,-2268.0,-15952.0,13644.0,-8541.0,59.0,1652.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""13:51:30.075""",0,206,4548.0,5548.0,20736.0,4588.0,1796.0,-2572.0, 
