t,az
705,16312
716,16588
727,16560
738,16996
749,15704
760,19908
771,20664
782,18088
793,19596
804,9248
815,20952
826,19504
837,-23468
848,26588
859,25284
870,25228
881,16776
892,13340
903,13444
914,18260
925,2884
936,-6360
947,4472
958,9096
969,9076
980,7752
991,7848
1002,7180
1013,-1456
1024,-5008
1035,1360
1046,7204
1057,8584
1068,13368
1079,17764
1090,21676
1101,19456
1112,17744
1123,19844
1134,21432
1145,13172
1156,12856
1167,17064
1178,15068
1189,12312
1200,11468
1211,8676
1222,9080
1233,9792
1244,7264
1255,1840
1266,2124
1277,5468
1288,5580
1299,7204
1310,4992
1321,9616
1332,8792
1343,2884
1354,7624
1365,11884
1376,12508
1387,16076
1398,15596
1409,13456
1420,13264
1431,16580
1442,14772
1453,12428
1464,12560
1475,14408
1486,11300
1497,9252
1508,8220
1519,6812
1530,6040
1541,6940
1552,7028
1563,6372
1574,6996
1585,7876
1596,7008
1607,7844
1618,9396
1629,8720
1640,11632
1651,11772
1662,10140
1673,9800
1684,10944
1695,14072
1706,16888
1717,15504
1728,14776
1739,13484
1750,10864
1761,9572
1772,11240
1783,11056
1794,9872
1805,9616
1816,9196
1827,8164
1838,6888
1849,8336
1860,9760
1871,9764
1882,11112
1893,9972
1904,10428
1915,8968
1926,10640
1937,13304
1948,13524
1959,12316
1970,11860
1981,10436
1992,8136
2003,8508
2014,10176
2025,10756
2036,10548
2047,11100
2058,10204
2069,8436
2080,10256
2091,9216
2102,9064
2113,9876
2124,11404
2135,10972
2146,10252
2157,11004
2168,11552
2179,11420
2190,11964
2201,12652
