Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Prior,-96,734,-511,70.57
2,Prior,-650,-785,-633,14.33
3,Prior,160,-681,-768,191.52
4,Prior,-726,-109,-723,379.86
5,Prior,-473,-115,-309,0.27
6,Prior,-221,-114,-45,1.4
7,Prior,925,262,780,62.82
8,Prior,-589,-132,-377,0.93
9,Prior,-621,379,-830,113.06
10,Prior,-981,-42,-230,128.68
11,Prior,967,-339,724,111.73
12,Prior,-722,130,-705,209.22
13,Prior,-21,-688,561,1.63
14,Prior,234,621,-731,159.85
15,Prior,769,-270,-721,184.93
16,Optimization,1000,1000,1000,103.55
17,Optimization,-1000,1000,1000,95.25
18,Optimization,1000,1000,-1000,298.18
19,Optimization,1000,-1000,-1000,278.56
20,Optimization,257,-862,437,17.46
21,Optimization,281,-420,-733,186.5
22,Optimization,419,607,-804,82.66
23,Optimization,-367,634,103,1.81
24,Optimization,-1000,-1000,1000,82.21
25,Optimization,123,33,637,1.55
26,Optimization,418,-642,-103,0.91
27,Optimization,-227,632,293,0.86
28,Optimization,217,-129,-974,28.94
29,Optimization,490,697,-152,7.64
30,Optimization,974,892,682,42.56
31,Optimization,1000,-1000,1000,45.0
32,Optimization,366,491,-484,0.87
33,Optimization,-223,-586,-433,0.75
34,Optimization,-758,752,676,191.18
35,Optimization,595,817,290,7.52
36,Optimization,597,348,897,4.34
37,Optimization,461,-668,-261,1.06
38,Optimization,951,-310,747,93.97
39,Optimization,-1000,1000,-1000,334.46
40,Optimization,391,-129,-26,0.57
41,Optimization,-354,359,853,20.94
42,Optimization,-1000,-1000,-1000,142.03
43,Optimization,-931,-705,937,66.7
44,Optimization,290,-331,-22,1.5
45,Optimization,-598,307,-653,18.65
46,Optimization,107,-820,-701,96.17
47,Optimization,821,-638,269,66.31
48,Optimization,-988,-14,-160,143.28
49,Optimization,19,-73,-81,0.2
50,Optimization,-764,-52,-707,302.15

--- FINAL BO RESULTS ---
Category,RPM_1,RPM_2,RPM_3,Displacement_mm
Best Observed,-726,-109,-723,379.86
Theoretical Predicted,-726,-109,-723,379.86
