Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Prior,160,-572,585,4.75
2,Prior,-678,663,822,184.63
3,Prior,-563,975,-444,144.42
4,Prior,-103,-447,417,0.63
5,Prior,655,-608,-761,93.15
6,Prior,394,484,154,0.54
7,Prior,-288,321,997,21.92
8,Prior,560,-897,-481,26.76
9,Prior,-749,-145,-997,207.84
10,Prior,-391,-21,-94,0.41
11,Prior,887,-839,330,81.17
12,Prior,54,852,-64,2.49
13,Prior,-970,-207,-321,29.76
14,Prior,825,173,-647,9.2
15,Prior,322,381,634,1.19
16,Optimization,879,257,655,6.04
17,Optimization,-438,-923,491,61.88
18,Optimization,726,633,224,26.07
19,Optimization,602,-906,-517,55.23
20,Optimization,-739,470,150,26.27
21,Optimization,956,-208,635,4.74
22,Optimization,-976,-196,-633,2.38
23,Optimization,-574,717,72,109.63
24,Optimization,811,-642,959,79.05
25,Optimization,232,301,-11,1.57
26,Optimization,553,-279,785,73.23
27,Optimization,-679,402,139,7.51
28,Optimization,-147,-530,280,1.31
29,Optimization,-87,642,-442,1.25
30,Optimization,-654,-901,-769,87.37
31,Optimization,-189,520,-690,9.9
32,Optimization,-473,-446,470,0.73
33,Optimization,-277,-304,-848,150.03
34,Optimization,541,755,93,129.8
35,Optimization,-569,967,780,98.89
36,Optimization,338,704,994,24.65
37,Optimization,-690,187,-92,2.86
38,Optimization,-266,950,-978,73.07
39,Optimization,824,-415,180,20.46
40,Optimization,-509,956,775,165.42
41,Optimization,-363,558,647,32.68
42,Optimization,-368,-661,760,237.57
43,Optimization,-28,425,-546,6.54
44,Optimization,-576,319,836,43.34
45,Optimization,-796,271,-391,0.81
46,Optimization,172,-765,-107,123.85
47,Optimization,-70,-245,-339,0.73
48,Optimization,-990,357,837,42.63
49,Optimization,729,539,749,186.97
50,Optimization,-128,347,-477,0.67

--- FINAL BO RESULTS ---
Category,RPM_1,RPM_2,RPM_3,Displacement_mm
Best Observed,-368,-661,760,237.57
Theoretical Predicted,-368,-661,760,237.57
