Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Optimization,-163,643,-252,2.01
2,Optimization,11,-859,529,141.55
3,Optimization,-77,-838,704,276.62
4,Optimization,-936,-866,973,168.62
5,Optimization,-701,-845,-582,168.13
6,Optimization,417,192,-185,0.6
7,Optimization,874,134,-917,88.28
8,Optimization,-738,-401,879,71.15
9,Optimization,464,854,-346,33.99
10,Optimization,-526,-256,-336,0.58
11,Optimization,734,-1000,1000,352.87
12,Optimization,1000,-1000,1000,276.86
13,Optimization,-540,214,-368,2.15
14,Optimization,930,694,95,115.97
15,Optimization,-78,-200,-322,0.6
16,Optimization,500,-1000,1000,202.23
17,Optimization,1000,-1000,297,435.57
18,Optimization,1000,-1000,-106,219.69
19,Optimization,1000,-164,1000,71.71
20,Optimization,1000,-1000,-1000,246.64
21,Optimization,-1000,1000,1000,55.16
22,Optimization,1000,-1000,311,111.06
23,Optimization,492,611,502,1.71
24,Optimization,-263,-343,-645,1.41
25,Optimization,-144,184,-815,1.3
26,Optimization,917,-1000,-919,169.73
27,Optimization,-991,-974,994,202.32
28,Optimization,-869,-988,-907,95.02
29,Optimization,905,-998,875,245.66
30,Optimization,-975,976,-1000,247.29
31,Optimization,1000,1000,-1000,97.86
32,Optimization,1000,1000,1000,109.5
33,Optimization,-895,977,-905,92.25
34,Optimization,87,-991,962,160.3
35,Optimization,962,-952,997,285.89
36,Optimization,-983,-996,175,150.8
37,Optimization,997,-980,143,305.52
38,Optimization,992,-963,-918,266.9
39,Optimization,991,-998,-314,136.71
40,Optimization,92,-997,-954,149.27
41,Optimization,-981,-935,-983,202.49
42,Optimization,993,-984,939,395.49
43,Optimization,828,-983,1000,351.37
44,Optimization,992,-890,985,107.36
45,Optimization,6,-990,987,271.31
46,Optimization,-984,998,140,240.43
47,Optimization,-994,407,998,276.23
48,Optimization,-132,997,991,12.46
49,Optimization,-905,-970,988,127.12
50,Optimization,-984,987,-148,66.84

--- FINAL BO RESULTS ---
Category,RPM_1,RPM_2,RPM_3,Displacement_mm
Best Observed,1000,-1000,297,435.57
Theoretical Predicted,1000,-1000,297,435.57
