Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Prior,923,721,836,66.38
2,Prior,-575,735,-763,54.77
3,Prior,-414,886,878,73.21
4,Prior,223,-997,358,101.51
5,Prior,940,548,-435,38.81
6,Prior,284,-304,-570,0.89
7,Prior,114,222,548,1.34
8,Prior,649,811,3,179.31
9,Prior,-394,482,-704,135.31
10,Prior,-285,-464,-50,1.55
11,Prior,-136,-533,42,1.25
12,Prior,622,276,-687,80.35
13,Prior,592,-844,-154,318.03
14,Prior,710,-295,-298,4.1
15,Prior,-344,-860,-56,142.11
16,Optimization,-991,-998,899,242.65
17,Optimization,-899,985,978,166.32
18,Optimization,-940,-952,-979,128.76
19,Optimization,982,-978,992,204.92
20,Optimization,-982,998,958,238.14
21,Optimization,-938,-961,974,125.62
22,Optimization,-974,-970,-991,404.64
23,Optimization,-950,149,878,96.62
24,Optimization,932,-1000,-7,222.24
25,Optimization,1000,-1000,-1000,410.76
26,Optimization,271,753,-59,71.5
27,Optimization,241,934,168,57.3
28,Optimization,345,424,-741,81.59
29,Optimization,63,0,-613,1.12
30,Optimization,914,573,471,187.83
31,Optimization,-585,-51,-792,36.38
32,Optimization,-847,-508,-196,282.12
33,Optimization,420,-656,-151,2.12
34,Optimization,-853,293,-100,282.04
35,Optimization,-764,-316,-504,91.13
36,Optimization,-940,51,-566,112.05
37,Optimization,-387,522,890,44.49
38,Optimization,733,-779,890,194.22
39,Optimization,-210,-791,28,120.08
40,Optimization,578,-738,-13,148.94
41,Optimization,-130,-481,-959,39.6
42,Optimization,-464,-518,-551,0.9
43,Optimization,43,972,905,60.74
44,Optimization,789,-252,-331,364.35
45,Optimization,-948,-497,575,86.75
46,Optimization,575,-730,-280,64.42
47,Optimization,761,609,-914,57.78
48,Optimization,159,-703,-814,54.68
49,Optimization,-305,339,396,0.39
50,Optimization,-940,-961,424,139.64

--- FINAL BO RESULTS ---
Category,RPM_1,RPM_2,RPM_3,Displacement_mm
Best Observed,1000,-1000,-1000,410.76
Theoretical Predicted,1000,-1000,-1000,410.76
