Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Prior,-772,-61,442,72.32
2,Prior,-148,901,551,42.15
3,Prior,-967,704,-38,125.42
4,Prior,-468,-584,-712,99.92
5,Prior,85,-976,119,71.03
6,Prior,-355,458,-495,0.82
7,Prior,272,-742,613,25.81
8,Prior,608,-415,-374,2.16
9,Prior,-275,-126,327,0.79
10,Prior,471,265,747,59.78
11,Prior,22,-234,991,14.34
12,Prior,773,480,-99,177.74
13,Prior,-626,-664,-300,4.24
14,Prior,959,854,-938,121.03
15,Prior,464,138,-844,14.95
16,Optimization,967,938,-991,124.03
17,Optimization,1000,1000,1000,72.74
18,Optimization,-1000,1000,-1000,253.92
19,Optimization,494,-419,-649,1.27
20,Optimization,-1000,1000,-843,198.0
21,Optimization,-1000,865,-1000,201.29
22,Optimization,-746,1000,-1000,40.41
23,Optimization,-1000,1000,-963,495.06
24,Optimization,-983,-875,-996,124.71
25,Optimization,-991,872,979,253.97
26,Optimization,-969,960,974,232.4
27,Optimization,-975,-785,979,259.84
28,Optimization,-958,-969,977,231.78
29,Optimization,980,-984,900,132.18
30,Optimization,911,-984,-936,268.06
31,Optimization,-1000,76,1000,260.23
32,Optimization,-980,41,-987,197.72
33,Optimization,979,-987,-269,268.92
34,Optimization,1000,-1000,-1000,94.79
35,Optimization,-992,-989,303,136.92
36,Optimization,990,979,63,114.96
37,Optimization,-971,974,300,100.05
38,Optimization,995,-47,956,130.43
39,Optimization,-975,312,996,197.97
40,Optimization,-554,-1000,987,74.2
41,Optimization,998,-959,182,164.26
42,Optimization,-139,993,-996,98.06
43,Optimization,258,-989,-989,419.55
44,Optimization,-4,-1000,-1000,94.74
45,Optimization,-280,976,998,29.89
46,Optimization,999,-154,-942,241.93
47,Optimization,-964,-963,-974,310.05
48,Optimization,-995,109,-981,49.98
49,Optimization,-961,-986,-987,150.77
50,Optimization,975,-953,949,160.76

--- FINAL BO RESULTS ---
Category,RPM_1,RPM_2,RPM_3,Displacement_mm
Best Observed,-1000,1000,-963,495.06
Theoretical Predicted,-1000,1000,-963,495.06
