SPVVVECTR1_timestamp,S1_Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,S2_Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,S3_Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""14:54:03.401""",0,0,-1608.0,4060.0,7348.0,1864.0,1983.0,6024.0, ,"=""14:54:03.401""",0,0,-268.0,-4288.0,15576.0,2957.0,1537.0,-928.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:03.503""",0,0,-1608.0,4060.0,7348.0,1864.0,1983.0,6024.0, ,"=""14:54:03.503""",0,0,-268.0,-4288.0,15576.0,2957.0,1537.0,-928.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:03.605""",0,0,-1608.0,4060.0,7348.0,1864.0,1983.0,6024.0, ,"=""14:54:03.605""",0,0,-268.0,-4288.0,15576.0,2957.0,1537.0,-928.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:03.707""",0,0,-1608.0,4060.0,7348.0,1864.0,1983.0,6024.0, ,"=""14:54:03.707""",0,0,-268.0,-4288.0,15576.0,2957.0,1537.0,-928.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:03.808""",0,0,-1608.0,4060.0,7348.0,1864.0,1983.0,6024.0, ,"=""14:54:03.808""",0,0,-88.0,-4136.0,15712.0,3080.0,1890.0,-769.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:14.464""",200,0,-1760.0,3996.0,7412.0,2081.0,1992.0,6169.0, ,"=""14:54:14.464""",200,0,-212.0,-4344.0,15596.0,2852.0,1781.0,-834.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:14.566""",200,0,-1508.0,4008.0,7288.0,1946.0,1952.0,6140.0, ,"=""14:54:14.566""",200,0,-212.0,-4344.0,15596.0,2852.0,1781.0,-834.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:14.668""",200,0,-1508.0,4008.0,7288.0,1946.0,1952.0,6140.0, ,"=""14:54:14.668""",200,0,-212.0,-4344.0,15596.0,2852.0,1781.0,-834.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:14.770""",200,0,-1508.0,4008.0,7288.0,1946.0,1952.0,6140.0, ,"=""14:54:14.770""",200,0,-212.0,-4344.0,15596.0,2852.0,1781.0,-834.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:14.872""",200,0,-1508.0,4008.0,7288.0,1946.0,1952.0,6140.0, ,"=""14:54:14.872""",200,0,-212.0,-4344.0,15596.0,2852.0,1781.0,-834.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:25.985""",-600,202,-344.0,-224.0,11452.0,2327.0,2120.0,5466.0, ,"=""14:54:25.985""",-600,199,-388.0,-2880.0,10992.0,-2045.0,3265.0,1236.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:26.087""",-600,202,-344.0,-224.0,11452.0,2327.0,2120.0,5466.0, ,"=""14:54:26.087""",-600,199,-388.0,-2880.0,10992.0,-2045.0,3265.0,1236.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:26.189""",-600,202,-344.0,-224.0,11452.0,2327.0,2120.0,5466.0, ,"=""14:54:26.189""",-600,162,-916.0,-3356.0,16776.0,-742.0,2286.0,-228.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:26.291""",-600,202,-344.0,-224.0,11452.0,2327.0,2120.0,5466.0, ,"=""14:54:26.291""",-600,162,-916.0,-3356.0,16776.0,-742.0,2286.0,-228.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
"=""14:54:26.392""",-600,202,-344.0,-224.0,11452.0,2327.0,2120.0,5466.0, ,"=""14:54:26.392""",-600,162,-916.0,-3356.0,16776.0,-742.0,2286.0,-228.0, ,OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 
