S1_timestamp,S1_Target_RPM,S1_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,S2_timestamp,S2_Target_RPM,S2_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,S3_timestamp,S3_Target_RPM,S3_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""16:08:21.099""",0,0,-16588.0,-15824.0,20460.0,-1681.0,-1454.0,-1484.0, ,"=""16:08:21.099""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.099""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.201""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.201""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.201""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.302""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.302""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.302""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.404""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.404""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.404""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.505""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.505""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.505""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.607""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.607""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.607""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.709""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.709""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.709""",0,0,11564.0,26052.0,18672.0,1019.0,-1074.0,158.0, 
"=""16:08:21.811""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.811""",0,0,-11972.0,-2016.0,2064.0,-2562.0,2263.0,-179.0, ,"=""16:08:21.811""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:21.913""",0,0,-16168.0,-16036.0,22396.0,-423.0,-1663.0,-561.0, ,"=""16:08:21.913""",0,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:21.913""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.015""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.015""",0,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.015""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.117""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.117""",0,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.117""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.218""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.218""",0,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.218""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.320""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.320""",900,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.320""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.422""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.423""",900,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.423""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.526""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.526""",900,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.526""",0,0,12356.0,26228.0,18132.0,25.0,88.0,25.0, 
"=""16:08:22.628""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.628""",900,0,-12296.0,-1544.0,1920.0,-2326.0,2560.0,-279.0, ,"=""16:08:22.628""",0,0,12400.0,27984.0,18412.0,-485.0,-392.0,1640.0, 
"=""16:08:22.730""",0,0,-16596.0,-15992.0,20528.0,-856.0,-1564.0,-554.0, ,"=""16:08:22.730""",900,163,-10780.0,-5244.0,2160.0,-2008.0,2143.0,-648.0, ,"=""16:08:22.730""",0,0,12400.0,27984.0,18412.0,-485.0,-392.0,1640.0, 
"=""16:08:22.831""",0,0,-17948.0,-16072.0,20540.0,-1262.0,-2045.0,-346.0, ,"=""16:08:22.831""",900,163,-10780.0,-5244.0,2160.0,-2008.0,2143.0,-648.0, ,"=""16:08:22.831""",0,0,12400.0,27984.0,18412.0,-485.0,-392.0,1640.0, 
"=""16:08:22.933""",0,0,-17948.0,-16072.0,20540.0,-1262.0,-2045.0,-346.0, ,"=""16:08:22.933""",900,163,-10780.0,-5244.0,2160.0,-2008.0,2143.0,-648.0, ,"=""16:08:22.933""",0,0,12400.0,27984.0,18412.0,-485.0,-392.0,1640.0, 
"=""16:08:23.036""",0,0,-17948.0,-16072.0,20540.0,-1262.0,-2045.0,-346.0, ,"=""16:08:23.036""",900,163,-10780.0,-5244.0,2160.0,-2008.0,2143.0,-648.0, ,"=""16:08:23.036""",0,0,12400.0,27984.0,18412.0,-485.0,-392.0,1640.0, 
