Trial,M1,M2,M3,Displacement_mm,Yaw_rotation_deg
1,1000,1000,1000,40.34940265522555,1.2595945000648499
2,1000,1000,1000,198.40942437793979,2.336023688316345
3,1000,1000,1000,242.71783344911316,4.984357118606567
4,1000,1000,1000,69.87190011614253,3.595137119293213
5,1000,1000,1000,155.4820705995195,-1.2966346740722656
6,1000,1000,1000,103.5988122562841,3.3691890137270093
7,1000,1000,1000,207.5645146349811,-2.083696410059929
8,1000,1000,1000,174.7974678674554,-0.07958924770355225
9,1000,1000,1000,116.47585133831063,-1.771240234375
10,1000,1000,1000,54.90018404569997,0.2800242304801941
11,1000,1000,1000,48.282812734766445,1.9159448146820068
12,1000,1000,1000,309.37337042068174,0.9985966682434082
13,1000,1000,1000,195.72490384020267,6.97027325630188
14,1000,1000,1000,230.2496846131298,-2.771203339099884
15,1000,1000,1000,166.86715204111798,-1.685827910900116
16,1000,1000,1000,187.38411953154696,0.5831673741340637
17,1000,1000,1000,91.12484353609419,3.16812264919281
18,1000,1000,1000,93.91890410555611,3.603852391242981
19,1000,1000,1000,41.74093389387096,-3.6747686862945557
20,1000,1000,1000,46.85735269905249,2.1817310452461243
21,1000,1000,1000,138.70722643465461,174.05267190933228
22,1000,1000,1000,220.80252044879538,3.7295331358909607
23,1000,1000,1000,28.191576596677745,0.613166332244873
24,1000,1000,1000,123.23661035638374,0.5804495811462402
25,1000,1000,1000,85.43364631080216,3.5836218670010567
26,1000,1000,1000,88.42523790124255,-0.5480828676372766
27,1000,1000,1000,61.10764982922152,-2.931023120880127
28,1000,1000,1000,70.48995871097397,1.3547639846801758
29,1000,1000,1000,37.11996004776018,-1.8176459670066833
30,1000,1000,1000,345.35571682372085,-15.571046829223633
31,1000,1000,1000,92.62088206691128,0.37122106552124023
32,1000,1000,1000,70.55634126665247,1.3876826763153076
33,1000,1000,1000,85.85655043692499,1.8537437692284584
34,1000,1000,1000,55.201844550572574,4.044742524623871
35,1000,1000,1000,77.40528028283481,-1.5893923044204712
36,1000,1000,1000,60.58900083287742,-0.7043450176715851
37,1000,1000,1000,48.09010714459386,-1.4980407086550258
38,1000,1000,1000,122.94839473859102,-1.748038113117218
39,1000,1000,1000,85.58192579941867,-1.2986893057823181
40,1000,1000,1000,44.20824140980577,-0.4607585668563843
41,1000,1000,1000,76.60223513407861,-1.4243779480457306
42,1000,1000,1000,25.461066705415302,1.3433434963226318
43,1000,1000,1000,80.23864027151699,-0.03791767358779907
44,1000,1000,1000,91.94403323107048,1.6153635084629059
45,1000,1000,1000,96.46224714345382,-1.4106244593858719
46,1000,1000,1000,89.63919972904354,1.3805910050868988
47,1000,1000,1000,94.6681168614515,1.4348118007183075
48,1000,1000,1000,109.30703873265043,0.11990618705749512
49,1000,1000,1000,114.9141886495144,-1.267249345779419
50,1000,1000,1000,88.677842798567,0.3048762083053589
